FID;rate_5;rate_10;rate_25;rate_50;rate_100;rate_300;rate_500;rate_1000;rate_2000;ari10;ari50;ari100;ari200;ari500;ari1000;ari2500;ari500P;ari500M;ari500LL;ari500ZL;POINT_X;POINT_Y
37;0.152750762229857;0.078026858643077;0.028719599007528;0.012206887680233;0.004600437584789;0.000694141374019;0.000239450864108;0.000044879581578;0.000006187608001;0.100000000000000;0.338036333677575;0.579846634561232;0.945686836698796;1.678746842470619;2.472640559411575;3.934416628378018;3.069351159666330;0.840775189830502;1.049825663786346;0.870818537377788;180.000000000000000;64.666236877399996
38;0.165689163986306;0.084786851725277;0.031421500933744;0.013482536108256;0.005091817525985;0.000742840861015;0.000249460560071;0.000045036031171;0.000005997235452;0.100000000000000;0.365205535018437;0.624506628294112;1.009987240921518;1.766927738791724;2.573672772949319;4.032309300901718;3.159777306761702;0.893141290549196;1.081067408478656;0.842159655740164;180.000000000000000;64.889472961400003
39;0.007652331169063;0.003655143608320;0.001118560739851;0.000389003731683;0.000121586099282;0.000016804081852;0.000005895536898;0.000001086329128;0.000000133007601;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.162958936518842;0.269744611473188;0.490841642290072;0.364070374971191;0.100000000000000;0.116526108947945;0.105197697256323;-18.987499237100000;63.273654937700002
40;0.009112986297476;0.004575222388043;0.001495984774026;0.000549224735206;0.000178362818318;0.000024770941027;0.000008805094544;0.000001710640526;0.000000227944379;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.200124917274440;0.333515470601563;0.611289921562735;0.446355430820853;0.100000000000000;0.142850356811144;0.131932368270643;-19.253219604500000;63.344173431400002
41;0.008692831916390;0.004368460887224;0.001452556888031;0.000541222667922;0.000177821301967;0.000025102235368;0.000008938361790;0.000001724669292;0.000000226849048;0.100000000000000;0.100000000000000;0.100000000000000;0.100000000000000;0.194752576305948;0.328166405554345;0.606979285796015;0.448343095389960;0.100000000000000;0.141432206372474;0.129984267762447;-19.529615402200001;63.361408233600002
42;0.012009273285552;0.006529846154379;0.002447582815149;0.001019901877328;0.000373431660486;0.000060943302199;0.000024302339365;0.000005971449688;0.000001080087511;0.100000000000000;0.100000000000000;0.100000000000000;0.130677495224245;0.295738741879528;0.506730669026364;0.955731807692535;0.705077556121653;0.100000000000000;0.217094936970096;0.198922127229299;-19.868713378900001;63.458774566700001
43;0.010608162092796;0.005575384217818;0.001994458081396;0.000798049931284;0.000284234025396;0.000048723285694;0.000020302880988;0.000005180055513;0.000000943822044;0.100000000000000;0.100000000000000;0.100000000000000;0.110971850437586;0.249045237507032;0.424639758628248;0.799748750808678;0.590795196489036;0.100000000000000;0.182116735641177;0.162088684782497;-20.107517242400000;63.380088806200000
44;0.012404334939438;0.006692557848311;0.002470288083838;0.001015755637195;0.000367039222075;0.000057143044034;0.000021667506255;0.000004856099865;0.000000794022674;0.100000000000000;0.100000000000000;0.100000000000000;0.133288654273148;0.297214243225899;0.505116465778947;0.945868364447427;0.689376752478867;0.100000000000000;0.216465213395321;0.198424132975215;-20.431848526000000;63.324779510500001
45;0.012054530440649;0.006425987318098;0.002260553845714;0.000870876203594;0.000291424321564;0.000040742144542;0.000014731144793;0.000003044841343;0.000000448158434;0.100000000000000;0.100000000000000;0.100000000000000;0.127047284650370;0.274385784537523;0.454104665465642;0.823884125075162;0.629579349728285;0.100000000000000;0.195619039199935;0.181692858268596;-20.657539367700000;63.332523345900000
46;0.012683035847641;0.006715410928133;0.002375705590810;0.000929890514778;0.000317979428427;0.000047801388276;0.000018486520021;0.000004300564451;0.000000721292771;0.100000000000000;0.100000000000000;0.100000000000000;0.132426792922724;0.285728483750284;0.474573180734205;0.866879068652255;0.661602988270482;0.100000000000000;0.204562171087254;0.179960796887220;-20.924943924000001;63.429164886499997
47;0.011922685497966;0.006122656303995;0.002096480400837;0.000810999881246;0.000277576765369;0.000041749258664;0.000015767071284;0.000003451223727;0.000000535241021;0.100000000000000;0.100000000000000;0.100000000000000;0.120399556059946;0.258854322226674;0.431786728752110;0.794977549180954;0.599020295024480;0.100000000000000;0.184590926253436;0.167767077928853;-21.244695663500000;63.510986328100003
48;0.011684449054090;0.006204260313735;0.002259792965072;0.000920962936365;0.000330086840148;0.000050983224806;0.000019209914374;0.000004226063850;0.000000670260775;0.100000000000000;0.100000000000000;0.100000000000000;0.123320518314100;0.275834427222947;0.470106741852984;0.882975990821842;0.643859766766961;0.100000000000000;0.200813048809442;0.182679976630156;-21.606899261500001;63.583789825399997
49;0.012221571361006;0.006410472934496;0.002271013961195;0.000910132134469;0.000326784000860;0.000055649289846;0.000023065715681;0.000005905506353;0.000001091176346;0.100000000000000;0.100000000000000;0.100000000000000;0.126502352895384;0.276297576337476;0.466539512874368;0.875871684644214;0.634465561231329;0.100000000000000;0.197492678156162;0.177311125220736;-21.562139511100000;63.677265167199998
50;0.013268699551690;0.007156167549159;0.002624364354975;0.001066578695407;0.000378228728184;0.000057953197924;0.000022487472369;0.000005351253004;0.000000938041983;0.100000000000000;0.100000000000000;0.100000000000000;0.141640144096269;0.311310375636353;0.523275535874669;0.964702302632552;0.720168827322021;0.100000000000000;0.225270308447265;0.202663233250581;-21.766983032199999;63.776947021500000
51;0.011683787257316;0.006176949974274;0.002207669649501;0.000880472188096;0.000310240968790;0.000049367134403;0.000019392312541;0.000004532637073;0.000000756135397;0.100000000000000;0.100000000000000;0.100000000000000;0.122441728354263;0.270097454782508;0.455874449070637;0.849288255661128;0.620333012484270;0.100000000000000;0.194783897022051;0.176610274818753;-22.060216903699999;63.746955871600001
52;0.012786991796260;0.006906797287761;0.002582833180603;0.001082343351233;0.000402182481121;0.000069817386347;0.000029201228220;0.000007713460731;0.000001501530762;0.100000000000000;0.100000000000000;0.100000000000000;0.137625892794421;0.309410803102950;0.530153072782128;1.002587369330878;0.743376543369997;0.100000000000000;0.227027951692145;0.208575563114379;-22.503059387200000;63.778511047400002
53;0.011954076605012;0.006336024432518;0.002255034572553;0.000886065979253;0.000301498003852;0.000041755703536;0.000014729481184;0.000002904374807;0.000000405183743;0.100000000000000;0.100000000000000;0.100000000000000;0.125445751149231;0.274403040610951;0.458711821160274;0.839581291403924;0.619638386479585;0.100000000000000;0.198212852026445;0.176346934720471;-22.774995803800000;63.808731079099999
54;0.013072731571183;0.006969453167115;0.002530999362233;0.001032624289821;0.000372333920288;0.000059721194198;0.000023523459702;0.000005633761499;0.000000986079469;0.100000000000000;0.100000000000000;0.100000000000000;0.137621003210638;0.302580283091765;0.511260590756245;0.954464836068311;0.712483758564236;0.100000000000000;0.218520551301163;0.200862488833653;-22.968835830700002;63.943920135500001
55;0.012681081010900;0.006715187926878;0.002420028339617;0.000985367711887;0.000355783715466;0.000054267988838;0.000019823878051;0.000004105593613;0.000000609183918;0.100000000000000;0.100000000000000;0.100000000000000;0.132721970696096;0.291495492997851;0.493993031828922;0.927182605887410;0.687347854989993;0.100000000000000;0.209110438062481;0.185242690691441;-23.114181518599999;64.023590087900004
56;0.013180794735968;0.007169984360163;0.002633955774153;0.001072577069143;0.000387632773746;0.000065018161781;0.000026813165717;0.000006994559276;0.000001356141142;0.100000000000000;0.100000000000000;0.100000000000000;0.142103744744262;0.312160060923594;0.525665532346674;0.979163515892603;0.729193751172111;0.100000000000000;0.224258388534183;0.201256502976016;-23.039842605600001;64.226837158199999
57;0.012704635165330;0.006706637709148;0.002324115457384;0.000892435295491;0.000300120599415;0.000040857127064;0.000014094310349;0.000002669300105;0.000000357793313;0.100000000000000;0.100000000000000;0.100000000000000;0.131718687951218;0.280109119874204;0.461803330741964;0.838268244474212;0.627130966527253;0.100000000000000;0.197053057983184;0.174465197299546;-22.846141815199999;64.420539856000005
58;0.012249831260235;0.006619080917800;0.002409261261405;0.000966924094752;0.000340768576292;0.000053176708638;0.000020581058088;0.000004726221001;0.000000778509361;0.100000000000000;0.100000000000000;0.100000000000000;0.131685416667296;0.290031910930856;0.487393710167722;0.902942219492344;0.673745163218859;0.100000000000000;0.209213726306496;0.191204149820537;-23.021121978800000;64.578742981000005
59;0.011385012826445;0.005999402662046;0.002105756615075;0.000826766105040;0.000290053758810;0.000046693432637;0.000018228397123;0.000004141608970;0.000000662259522;0.100000000000000;0.100000000000000;0.100000000000000;0.118783328688186;0.259886328088514;0.436640129836571;0.812923906684469;0.604680549163328;0.100000000000000;0.185446871164110;0.168589909595705;-23.329084396399999;64.604980468799994
60;0.011392862207329;0.005954502174863;0.002043145608881;0.000781202401858;0.000266211202517;0.000042556814155;0.000016997840847;0.000004035898910;0.000000676015750;0.100000000000000;0.100000000000000;0.100000000000000;0.117594592471577;0.253687762568541;0.421613941512575;0.774061810779772;0.571920853194696;0.100000000000000;0.180194847642806;0.166509658541634;-23.487583160400000;64.639564514200003
